Location,Hospital_Name,State,District,Pincode,Latitude,Longitude,Specialisation,n_beds
"Aravinda Nagar, 2 Nd Cross",Padmavathi Hospital,Andhra Pradesh,Anantapur,515001,15.3474564,75.1253824,"ENT, General Physician, Orthopaedic, Paediatricians, Neurologist, Cardiologist, Urologist, Diabetologist, Nephrologist,Coronavirus Testing Centres,Dialysis Centre, Cancer, Oncologist, Endocrinologist, Paediatric Neurologist, Paediatric, Joint Replacement, Paediatric Cardiologist",521
"12-2-979,3Rd Cross, Sai Nagar, Anantapur",Pavani Multi Speciality Hospital,Andhra Pradesh,Anantapur,515001,14.6742267,77.6025251,Maternity,15
"346, Court Road,.",Prasanthi Nursing Home,Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911,"General Physician, Gynaecologist & Obstetrician, Neurologist, Cardiologist, Thyroid, Tonsillitis, ENT, Migraine, Arthritis, Osteoarthritis, Cancer",76
"12/2/991, Sai Nagar,Main Road, Anantpur",Priya Multispeciality Hospital,Andhra Pradesh,Anantapur,515001,14.6723351,77.6018211,"Paediatricians, Maternity",27
"15-16, Kamala Nagar, Anantapur",Ravitej Nursing Home,Andhra Pradesh,Anantapur,515001,14.6805847,77.6000775,"General Physician, Orthopaedic",16
"Near R.T.C, Bus Stand, Anantapur",Santhi Nursing Home,Andhra Pradesh,Anantapur,515001,13.9860276,77.7658783,"Gynaecologist & Obstetrician, Maternity, Gynecological Cancer",45
"Door No-14-324, Bank Of Baroda Lane, Kamala Nagar Iii Cross, Anantapur",Sri Sai Balaji Hospital,Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911,Dentist,3
"10/368, Sarojini Road, Anantapur",Sri Sai Kurpa Nursing Home,Andhra Pradesh,Anantapur,515001,13.6340453,79.4157431,Ophthalmologist,6
Anantapur,Sri Sai Venkateshwara Surgical Clinic,Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911,"Orthopedist, Physiotherapist, ENT",5
"Hospital Road,Anantapur-515001",Sudhir Surgical Clinic,Andhra Pradesh,Anantapur,515001,14.9093514,78.0060388,"ENT, Otorhinolaryngologist",5
"12-2-870,1St Cross,Sai Nagar,Anantapur",Suma Eye Clinic,Andhra Pradesh,Anantapur,515001,14.6755437,77.6036802,Maternity,5
"12/350-A,1St Cross,Sai Nagar,Anantapur",Swetha Ent Hospital,Andhra Pradesh,Anantapur,515001,14.6755437,77.6036802,Maternity,7
"D. No.14/224, Kamala Nagar",Varun Children's Hospital,Andhra Pradesh,Anantapur,515001,19.0627033,72.9297396,Ophthalmologist,12
"7/201, Court Road",Venkat Sai Health Care Pvt Ltd ( Apollo Hospitals),Andhra Pradesh,Anantapur,515001,14.6818877,77.6005911,Gynaecologist & Obstetrician,28
"Navodaya Colony, Anantpur",Vijaya Nursing Home,Andhra Pradesh,Anantapur,515001,14.6607456,77.6085681,"Urology, Gynaecologist & Obstetrician, Gastroenterology, Dermatolist, Diabetologist",23
"12-2-865, 1St Cross, Sai Nagar",Mamatha Nursing Home,Andhra Pradesh,Anantapur,515004,13.0433764,80.1622367,"Dentist, Neurologist, Cardiac, Orthodontist",21
"28-639-1, Behind Sangamesh Funtion Hall, Anantapur",Anantapuram Praja Vaidyasala,Andhra Pradesh,Anantapur,515005,14.6735546,77.6081894,"General Physician, Ophthalmologist",12
"M.F. Road,.",Balaji Nursing Home,Andhra Pradesh,Anantapur,515201,14.6818877,77.6005911,Gynaecologist & Obstetrician,14
"Opposite R.T.C Bus Stand, Hindupur (Po) Anantapur",Dr B V Syamala Ratnam Hospiatal,Andhra Pradesh,Anantapur,515201,14.6818877,77.6005911,"General Physician, Orthopaedic",8
"18-1-167, M F Road, Hindupur",Girish Multispeciality Hospital,Andhra Pradesh,Anantapur,515201,14.178135,77.2728241,Ophthalmologist,6
"R.P.G.T Road, Near Sreenivasa Theatre, Hindupur, Anantpur, (A.P)-515201",Shilpa Hospital,Andhra Pradesh,Anantapur,515201,13.8358978,77.5046101,Orthopaedic,6
Beside Sreenivasa Talkies R.P.G.T. Road. Hindupur,Sreenivasa Nursing Home,Andhra Pradesh,Anantapur,515201,13.8185378,77.4988753,ENT,6
R.P and G.T Road Hindupur--515201,Teja Nursing Home,Andhra Pradesh,Anantapur,515201,13.8371751,77.4878898,Gynaecologist & Obstetrician,15
"1/531A-3, East Palem, C B Road, Tadaptri",Sharada Nursing Home and Falvia P Reddy Diagnostic,Andhra Pradesh,Anantapur,515411,14.910003,78.0005407,"General Physician, Urologist, Diabetologist, Tuberculosis, Cardiac, Asthma, Hepatitis, Maternity",4
"C.B Road, Tadpatri",Sri Kanchani Hospital,Andhra Pradesh,Anantapur,515411,14.9070274,78.0092703,General Physician,5
"Beside Sudharsan Theatre, R.S.Road, Dharmavaram, Anantapur ()",Devi Nursing Home,Andhra Pradesh,Anantapur,515671,14.4137447,77.7126189,"General Physician, Urologist",8
"Near Saibaba Temple, Parthasaradhi Nagar, Dharmavaram",Spandana Hospital,Andhra Pradesh,Anantapur,515671,14.4068919,77.7125679,Orthopedic,4
"Thilak Nagar, Guntakal",Preethi Nursing Home,Andhra Pradesh,Anantapur,515801,15.1622611,77.3826845,"Gastroenterologist, Urologist, Maternity",14
"No.17-433, Lakshmi Complex, Sundarayyar Street,Chittoor,",Dr. Ramalakshmi Nursing Home,Andhra Pradesh,Chittoor,517001,13.217176,79.1003289,Gynaecologist & Obstetrician,14
"No. 20-142/1, Near Raghava Theatre, Naidu Building, Chittoor",Dr. V. K. R. Nursing Home and Scan Centre,Andhra Pradesh,Chittoor,517001,13.217176,79.1003289,Ophthalmologist,4
"D.No:17-284,T.V.Naidu St,.",Lakshmi Hospital,Andhra Pradesh,Chittoor,517001,28.6481837,77.3709431,"Orthopaedic, Paediatrician",6
"2-1250, Officers Lane,.",S.M.Clinic,Andhra Pradesh,Chittoor,517001,39.5988355,-77.932359,"Pathology Labs
",0
"2-63/1, Officers Lane Opp: Municipal Office Opp: Municipal Office Chittoor 517001  Chittoor",Sreelatha Modern Eye Hospital And Research Centre,Andhra Pradesh,Chittoor,517001,13.217176,79.1003289,Maternity,11
"2-1090, Padmavathi Nagar, Piler, Chittoor",Sujatha Nursing Home,Andhra Pradesh,Chittoor,517001,13.65,78.933333,Dentist,2
Opp:Tn Petrol Bunk Punganur Punganur 517247  Chittoor,Balaji Hospital,Andhra Pradesh,Chittoor,517247,13.36592,78.5750141,"General Physician, Paediatrician",4
Gokul Theater Road Punganur Punganur 517247  Chittoor,Vijaya Nursing Home,Andhra Pradesh,Chittoor,517247,13.36592,78.5750141,"General Physician, Gynaecologist & Obstetrician",16
"Opposite R.T.C. Bus Stand, C.T.M. Road, Madanapalle- Chittoor ()",Balaji Multi Speciality Hospital,Andhra Pradesh,Chittoor,517325,13.5508703,78.50597,Orthopaedic,4
Near Rtc Bus Stand Chittoor Madanapalli 517325  Chittoor,Bhavya Child Care Center,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065,Orthopaedic,4
R T C Bus Stand Madanpalle -,Bhavyas Children Hospital,Andhra Pradesh,Chittoor,517325,13.5508703,78.50597,Maternity,16
14/2A Ctm Road Beside Icici Bank Madanapalli 517325  Chittoor,Chandra Mohan's Nursing Home,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065,General Physician,2
"Door No.Iii -153-4-3-1, Near Rtc Bus Stand, Madanapalle - 517325",Desai Hospital,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065,"Urologist, Maternity",17
"No. 3-153-4-3-1, Near Rtc Bus Stand,",Desai Hospital-Madanapalli,Andhra Pradesh,Chittoor,517325,14.4656511,78.8330438,"Gynaecologist & Obstetrician, Ophthalmologist, Oncologist",17
"Near R.T.C.Busstand,C.T.M.Road.",Emergency Hospital,Andhra Pradesh,Chittoor,517325,18.4328566,79.1303578,Maternity,18
",C.T.M.Road.",Gupta Nursing Home,Andhra Pradesh,Chittoor,517325,13.217176,79.1003289,"General Physician, Gynaecologist & Obstetrician, Ophthalmologist, Cardiologist, Diabetologist, Neurologist",16
"15-37, Burma St,,C.T.M. Road .",Kathasagaram Hospitals,Andhra Pradesh,Chittoor,517325,13.5529488,78.5086376,"General Physician, Orthopaedic",6
",C.T.M.Road.",Leo Hospital,Andhra Pradesh,Chittoor,517325,13.217176,79.1003289,"Gastroenterology, ENT, Dental, Gynaecology & Obstetric, Ophthalmology, Endocrinology & Diabetes, Urology, Dermatology",4
"C.T.M Road(Opp State Bank Of India) Madanapalle, Chittoor",M.V.L Hospital,Andhra Pradesh,Chittoor,517325,13.5657237,78.5066868,"General Physician, Ophthalmologist",4
"C.T.M Road, Madanapalle",Madanapalle Hospital Pvt Ltd,Andhra Pradesh,Chittoor,517325,13.553374,78.5065719,"Gynecology/Obstetrics, Gynecologic Oncology",18
"Gandhi Road,Gandhi Road.",Popular Nursing Home,Andhra Pradesh,Chittoor,517325,30.3145962,78.0357476,"General Physician, Gynaecologist & Obstetrician, Cardiologist, Diabetologist, Oncologist, Orthopaedic",18
"Iv-5-3, Marpoori Colony, Madanapalle",Rama Orthopaedic Nursing Home,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065,"ENT, Urologist, Gastroenterologist, Dermatologist, Gynaecology & Obstetrics, Endocrinology & Diabetes, Ophthalmology",18
"Devi Complex, OppositeSreenivasa Super Market, C.T.M.Road, Madanapalle -517325",Shantharam Hospital,Andhra Pradesh,Chittoor,517325,13.553374,78.5065719,Orthopaedic,4
"Xvi-618,Seshappa Bungalow,Seshappa Thota,OppositeA.D.S, Punganur Road, Madanapalle,Anantapur,",Sri Kaveri Speciality Hospital,Andhra Pradesh,Chittoor,517325,14.6818877,77.6005911,"General Physician, Paediatrician",4
"Ganesh Hotel Compound, Near .R.T.C Bus Stand,Madanapalle",Usha Speciality Hospital,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065,Institutions For Aged,0
"D No 11-70, Patel Road Chittoor Madanapalli 517325  Chittoor",Viswa Orthopaedic Hospital,Andhra Pradesh,Chittoor,517325,13.5603491,78.5036065,"Gynecologist, Orthopedic, Neurologist",17
"Kuppam Palmaner Road,  - Chittoor",P E S Institute Of Medical Sciences and Research,Andhra Pradesh,Chittoor,517425,12.7279579,78.3512397,"General Physician, Gynaecologist & Obstetrician",18
"Palace Road, Kuppam",Rathna Childrens and General Hospital,Andhra Pradesh,Chittoor,517425,12.7510218,78.340196,"General Physician, Paediatrician, Diabetologist, Maternity",18
"A P Vajraveluchetty Street, A P Vajraveluchetty Street Kuppam 517425  Chittoor",Sri Priya Nursing Home,Andhra Pradesh,Chittoor,517425,12.7470314,78.3330157,"Urologist, ENT, Gynaecology & Obstetrics, Ophthalmology, Nephrology",33
"D.No :10-15-189/I2, K.K. Layout, Tirupati, Chittoor",Apollo Multispeciality Hospital,Andhra Pradesh,Chittoor,517501,13.6403071,79.4176391,"Ophthalmology, Endocrinology & Diabetes, Urology, Nephrology, ENT, Dermatology, Gastroenterology, Gynaecology & Obstetrics, Dentist",8
"10-15-76/10-3-206(U, Reddy and Reddy Colony Tirupati-Ap",Asalatha Medicare Pvt Lt,Andhra Pradesh,Chittoor,517501,13.6320156,79.4260025,"General Physician, Neurologist, Coronavirus Treatment, Diabetologist, Urologist",25
Tirupti (B.I.R.R.D),Balaji Institute Of Surgery Research And Rehabilit,Andhra Pradesh,Chittoor,517501,13.217176,79.1003289,Orthopaedic,25
"413-7-939/H2/C,Both Hospital Both Hospital Road, Tuda Road Tirupati 517501  Chittoor",Balaji Orthopaedic And Trauma Hospital,Andhra Pradesh,Chittoor,517501,13.6344095,79.425573,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Ophthalmologist, Urologist, ENT, Dental",25
"No. 13-4-392/B5, Tilak Road, Chitoor, Tirupati,",Bhaskar Allergy and Chest Hospital,Andhra Pradesh,Chittoor,517501,13.6338436,79.4210045,"General Physician, Gynaecologist & Obstetrician, Cardiologist",25
"398A, Doddapuram Street, Tirupati",Clinic Nisha,Andhra Pradesh,Chittoor,517501,13.6338782,79.4195997,Chemist,0
"18-1-505, Mosque Road Opp: Vv Mahal Mosque Road Tirupati 517501  Chittoor",Dbr And Sk Super Speciality Hospital,Andhra Pradesh,Chittoor,517501,13.6244611,79.4310052,"Gynaecology & Obstetrics, Ophthalmology, Gastroenterology, Nephrology, Endocrinology & Diabetes, ENT, Dermatology, Dentist",48
Nehru Nagar Behind Jyothi Talkies Tirupati (Chittoor),Eye Care Centre and Contact Lens Clinic,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795,Maternity,20
"10-13-568,Reddy and Reddy Colony,Chittoor.",Harshitha Hospital,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532,"General Physician,Pediatrician",0
"D No: 18-2-263, Road No-1, Abbanna Colony Near : Tirumala Bye Mass Road",M S Hospital,Andhra Pradesh,Chittoor,517501,13.6781837,79.352188,Multi-Speciality,6
"138/A, T.K Street, Above I.N.G Vysya Bank Besides Srinivasa Theatre, Tirupati,Chittoor,",M.M Hospital,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795,"Fracture,Orthopaedic",3
"548, R.R. Colony,Tirupati-",Manohari Nursing Home,Andhra Pradesh,Chittoor,517501,13.6302513,79.4118237,"General Physician,Pediatrician",10
"538,Second Street,OppositeAgarala Eswara, Degree College, Reddy and Reddy Colony, Tirupati,",Meghana Hospital,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795,Eye Specialist,0
2-2-349 K.V. Layout,Navya Netralaya Eye Hospital,Andhra Pradesh,Chittoor,517501,13.217176,79.1003289,"Gynecologist, Obstetrics",20
"18-2-246, Road No-1 Abbanna Colony Tirupati",Neelima Maternity Nursing Home,Andhra Pradesh,Chittoor,517501,13.6390013,79.4272041,"General Physician,Pediatricians",0
"18-2-73, F1, Korlagunta Main Road, Beside New Municipal Corportion Off., Tirupati,",Nirmala Hospitals,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795,"Orthopaedic,Paediatricians,Neurologist",2
"10-13-486, Reddy and Reddy Colony, Chittor, Tirupati,",Om Children Surgical Superspeciality Centre,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532,General Physician,0
10 - 3 - 206 Kotakommala Street Tirupati,Prameela Hospital,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795,Gynecology/Obstetrics,10
": 410, Tilak Road Tilak Road Tirupati 517501  Chittoor",Prashanth Hospital,Andhra Pradesh,Chittoor,517501,13.6338436,79.4210045,General Pediatrics,50
"10-14-576/6, 1St Street, 1St Street: Opp Muncipal Office Reddy and Reddy Colony Tirupati 517501  Chittoor",Raghavendra Urological Super Speciality Hospital (Russh Hospital),Andhra Pradesh,Chittoor,517501,13.6244611,79.4310052,General Physician,5
"535, Reddy and Reddy Colony, Tirupati",Rama Nursing Home,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532,"Gynecology/Obstetrics,General Physician",4
"-4-566, Nehru Nagar, Tirupathi, Chittoor",Ramya Hospital,Andhra Pradesh,Chittoor,517501,13.6365271,79.4127143,"Orthopaedics,Neurologist,Cardiologist,Urologist",149
"576, Opposite To Muncipal Office Opposite To Muncipal Office, Tirupati",Ravi Neuro and Emergency Hospital - Chittoor,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795,Multi-Speciality,149
"548, Reddy and Reddy Colony,Tirupati-517501",Sakthi Medicals,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532,General Physician,12
"101, Sarojinideavi Road, Tirupati",Shyamala Nursing Home,Andhra Pradesh,Chittoor,517501,13.6368739,79.4144319,Orthopaedic,10
"D. No-1/33, Sree Ram Nagar, Akkaram Palli Road, Tirupati",Sree Emergency and Crticial Care Hospital,Andhra Pradesh,Chittoor,517501,13.6157076,79.4125828,"Dermatologist, Pediatrics, Cardiologist, Gynaecologist, Dentistry",35
"10-13-496, Reddy and Reddy Colony, Tirupati",Sri Chakra Hospitals,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532,"Orthopaedic,Coronavirus",130
"6-1-46, R.S.Gardens Tirupathi",Sri Padmavathi Multi Speciality Hospital,Andhra Pradesh,Chittoor,517501,23.0866456,72.5630236,"cardiologist, dermatologist, obstetrics, ophthalmologist, pediatrics, neurologist, rheumatologist",110
T S 82 Sai Ram Street Opp: Bhavani Nagar Tirupati 517501  Chittoor,Sri Ramadevi Multi Super Speciality Hospital,Andhra Pradesh,Chittoor,517501,13.6388217,79.4204627,"Pediatrics, Gynaecologist,Maternity,Gastroenterologist",30
"521, Reddy and Reddy Colony, Chittor, Tirupati,",Sri Sai Sudha Hospitals,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532,"General Physician, Paediatricians,Maternity,Dengue, Vaccination, Fever",4
Tirupathi,Sri Suraksha Hospital,Andhra Pradesh,Chittoor,517501,13.217176,79.1003289,"Cardiologists , Echocardiologists,Bone Fracture, Paediatrics, Urologist",13
"No-15-2-79 G.S Mada Street Ggovinda Raja Swamy Temple, Chittoor",Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,Andhra Pradesh,Chittoor,517501,13.217176,79.1003289,"Breast Ultrasound, Bone Mineral Density,Abdominal Ultrasound,Diagnostic Ultrasound",5
Tirupati,Sri Venkateshwara Institute Of Medical Sciences,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795,"Dental,Maternity, neurologist, Bone Fracture,Urologist",8
"No. 20-03-88G, Siva Jyothi Nagar,",Sri Venkateswara Hospitals,Andhra Pradesh,Chittoor,517501,26.896961,75.792554,Obstetrician,12
"216, T.Nagar, Behind Thyagaraja Mandapam, Tirupati",Srinivasa Super Speciality Hospital,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795,"Nephrologist, Dialysis center",10
"515,Reddy Reddy Colony, Tirupati",Suguna Nursing Home,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532,Paediatrician,35
"326,Nethaji Road,Tirupathi",Sviss Hospital,Andhra Pradesh,Chittoor,517501,13.6095995,79.4489169,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",130
"6-2-91, Maternity Hospital Road, Opp S V Bala Mandiram School, Tirupati",Swaranamrutha Hospital,Andhra Pradesh,Chittoor,517501,13.6287557,79.4191795,Gynaecologist & Obstetrician,110
"525,Reddy  and Reddy Colony,Tirupathi-",Triveni Child Care Hospital,Andhra Pradesh,Chittoor,517501,13.6361446,79.4204532,Ophthalmologist,30
"10-13-533, Reddy and Reddy Colony, Reddy and Reddy Colony Tirupati 517501  Chittoor",Venkataramana Heart And Maternity Hospital,Andhra Pradesh,Chittoor,517501,13.6358027,79.420805,Cardiologist,4
"6-2-88, Old Maternity Hospital Road, Tirupati",Vision Care Clinic,Andhra Pradesh,Chittoor,517501,13.639101,79.4177213,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatricians, Ophthalmologists",13
"D. No.10-14-576/6, New No.28, Reddy And Reddy Colony,",Elite Hospital,Andhra Pradesh,Chittoor,517502,13.6335087,79.4170539,Obstetrician,5
13-7-936/6 Tuda Road,Maha Hospitals,Andhra Pradesh,Chittoor,517502,13.217176,79.1003289,"Nephrologist, Dialysis center",8
"502,B, 1St Floor, Opp Sbi Kt Road",Vennela Super Speciality Eye and Dental Hospital,Andhra Pradesh,Chittoor,517502,28.6779455,77.3103012,Paediatrician,12
"K. T. Road, Tirupati",Manasa Kidney Foundation,Andhra Pradesh,Chittoor,517507,13.6452591,79.419089,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",10
"V.V.Mahal Road, Tirupathi",Rushh Hospital,Andhra Pradesh,Chittoor,517507,13.6370231,79.4206271,Gynaecologist & Obstetrician,35
"6-1-12A, Beside Old Maternity Hospital, Tirupati",Swarna E.N.T Super Speciality Hosptial,Andhra Pradesh,Chittoor,517507,13.6287557,79.4191795,Ophthalmologist,130
"91,Old M.H.Road,1/1,Tirupathi,Chittoor",Swarnamurtha Hospital,Andhra Pradesh,Chittoor,517507,13.633255,79.4552064,Cardiologist,110
"3/260, Kabu Street,Upstairs Of Bank Of India, Puttur,",Sri Sai Nursing Home,Andhra Pradesh,Chittoor,517583,12.7686756,75.2070644,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatricians, Ophthalmologists",30
"Nagari-517590, Chittoor",C.S.I. Hospital,Andhra Pradesh,Chittoor,517590,13.3200519,79.585628,Obstetrician,4
"Door No-7/370, Nagarchipalem, Srikalahasti-517644",Chaitanya Childrens Hospital,Andhra Pradesh,Chittoor,517644,13.7392101,79.7119419,"Nephrologist, Dialysis center",13
"7-723,,Kothapet.",Eswari Nursing Home,Andhra Pradesh,Chittoor,517644,13.217176,79.1003289,Paediatrician,5
",Kothapet.",Sai Kanthi Eye Hospital,Andhra Pradesh,Chittoor,517644,13.217176,79.1003289,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",8
"V R Temple Street, Nehru Road,",Vani Priya Hospital,Andhra Pradesh,Chittoor,517644,22.5657131,88.3557301,Gynaecologist & Obstetrician,5
"6/1565, Sankara Puram Kadapa",Balaji Nursing Home,Andhra Pradesh,Y.S.R.,516001,14.480391,78.8340173,Ophthalmologist,8
3/374 Railway Station Road Railway Station Road Kadapa 516001  Kadapa,Jyothi Nursing Home,Andhra Pradesh,Y.S.R.,516001,17.6651796,75.8970483,Obstetrician,20
"3/224, Upendra Complex,",K.C.M. Hospital,Andhra Pradesh,Y.S.R.,516001,19.0266349,72.8594614,"Nephrologist, Dialysis center",17
21/188 and 21/187 Christian Lane Kadapa Kadapa 516001  Kadapa,Palla Krishnaiah Memorial And Nursing Home,Andhra Pradesh,Y.S.R.,516001,14.4701485,78.8297701,Paediatrician,30
3/137 Christian Lane Christian Lane Kadapa 516001  Kadapa,Sri Krishna Sahithi Eye Hospital,Andhra Pradesh,Y.S.R.,516001,14.4701485,78.8297701,"Dermatologist, General Physician, Dentist, Gynaecologist & Obstetrician, ENT, Orthopaedic, Neurologist, Gastroenterologist, Cardiologist, Diabetologist, Breast Cancer",101
"Madras Road, Kadapa",Srija Rainbow Childrens Hospital,Andhra Pradesh,Y.S.R.,516001,14.4783864,78.8252721,Gynaecologist & Obstetrician,20
"17/48, Kapu Street, Jammalamadugu",Tata Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.,516001,14.686981,78.3909238,Ophthalmologist,7
3/225 Upendra Complex Christian Lane Kadapa 516001  Kadapa,Vurimi Savitramma Cardiac Centre,Andhra Pradesh,Y.S.R.,516001,14.4701485,78.8297701,Cardiologist,11
"6/1414, Sankarapuram",Dr G R K R Multi Speciality Hospitals,Andhra Pradesh,Y.S.R.,516002,14.480391,78.8340173,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatricians, Ophthalmologists",33
"D.No.3/221,Christian Lane,Near 7 Roads.",Remedy Hospital,Andhra Pradesh,Y.S.R.,516002,18.000695,-76.8938358,Gynaecologist & Obstetrician,26
"6-880, Madras Road Sankarapuram",Sri Satya Sai Hospital,Andhra Pradesh,Y.S.R.,516002,13.0311046,80.2720822,"General Physician, Gastroenterologist, Oncologist, Endoscopist",43
"1/706 - 3, Dwarakanagar",Usha Rani Nursing Home,Andhra Pradesh,Y.S.R.,516004,17.7266953,83.3054733,"Gynaecologist & Obstetrician, Urologist",19
"10/596 M. G. Road Rly. Kodur, Kadapa",Vishnu Nursing Home,Andhra Pradesh,Y.S.R.,516101,13.9518505,79.3492863,General Physician,6
Nagulamanu Street Rajampet Rajampet 516115  Kadapa,Sree Durgaa Nursing Home,Andhra Pradesh,Y.S.R.,516115,14.1965314,79.1563718,"Gynaecologist & Obstetrician, ENT",24
"6/133, R S Road Rajampet Rajampet 516115 : Kadapa",Sri Sai Nursing Home,Andhra Pradesh,Y.S.R.,516115,14.2050808,79.1549173,"General Physician, Gynaecologist & Obstetrician, Orthopaedic, Paediatrician, Ophthalmologist, Cardiologist, Oncologist
",41
"Harinatha Street, Rayachoty,  Kadapa.",Madhavi Nursing Home,Andhra Pradesh,Y.S.R.,516269,14.0585458,78.7518863,"ENT, General Physician, Orthopaedic, Paediatricians, Neurologist, Cardiologist, Urologist, Diabetologist, Nephrologist,Coronavirus Testing Centres,Dialysis Centre, Cancer, Oncologist, Endocrinologist, Paediatric Neurologist, Paediatric, Joint Replacement, Paediatric Cardiologist",521
"3/1350, Gandhi Road Opp: Iswarya Complex Proddatur 516360  Kadapa",Abhilash Netra Vidyasala,Andhra Pradesh,Y.S.R.,516360,14.7491864,78.5531577,Maternity,15
"Gandhi Road, Proddatur (P.O.), . Kadapa",B. G. R. Hospital,Andhra Pradesh,Y.S.R.,516360,14.7500333,78.5478809,"General Physician, Gynaecologist & Obstetrician, Neurologist, Cardiologist, Thyroid, Tonsillitis, ENT, Migraine, Arthritis, Osteoarthritis, Cancer",76
